NumberFrom;NumberTo;Owner;MNC;RN;OperatorDSC;RowCount
998500170000;998500179999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998508700000;998508709999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998508770000;998508779999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500400000;998500409999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998504400000;998504409999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500900000;998500909999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998509500000;998509509999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998501500000;998501509999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998501550000;998501559999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998501700000;998501709999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998501770000;998501779999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998956160000;998959999999;"Uzmobile";08;D08;"Оператор мобильной связи Uzmobile";191
998200000000;998200399999;"Beeline";04;D04;"Оператор мобильной связи Beeline";191
998509700000;998509709999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998509770000;998509779999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500800000;998500809999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998502500000;998502509999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998502520000;998502529999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998502700000;998502709999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998502770000;998502779999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998503300000;998503309999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998502000000;998502009999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998502300000;998502309999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500300000;998500309999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505200000;998505209999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500200000;998500209999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500220000;998500229999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998503700000;998503709999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998503770000;998503779999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500120000;998500129999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998504040000;998504049999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998509800000;998509809999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507300000;998507309999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507370000;998507379999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507400000;998507409999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507470000;998507479999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507600000;998507609999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507670000;998507679999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507800000;998507809999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507870000;998507879999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507900000;998507909999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507970000;998507979999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998509900000;998509909999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998950000000;998956149999;"Uzmobile";08;D08;"Оператор мобильной связи Uzmobile";191
998700000000;998709999999;"Uzmobile";08;D08;"Оператор мобильной связи Uzmobile";191
998800000000;998800019999;"Perfectum_5G";;;"Оператор мобильной связи Perfectum Mobile стандарта 5G (на данный момент не участвует в переносе номеров и пока заведён как стационарный оператор)";191
998801110000;998801119999;"Perfectum_5G";;;"Оператор мобильной связи Perfectum Mobile стандарта 5G (на данный момент не участвует в переносе номеров и пока заведён как стационарный оператор)";191
998802220000;998802229999;"Perfectum_5G";;;"Оператор мобильной связи Perfectum Mobile стандарта 5G (на данный момент не участвует в переносе номеров и пока заведён как стационарный оператор)";191
998803330000;998803339999;"Perfectum_5G";;;"Оператор мобильной связи Perfectum Mobile стандарта 5G (на данный момент не участвует в переносе номеров и пока заведён как стационарный оператор)";191
998804440000;998804449999;"Perfectum_5G";;;"Оператор мобильной связи Perfectum Mobile стандарта 5G (на данный момент не участвует в переносе номеров и пока заведён как стационарный оператор)";191
998805550000;998805559999;"Perfectum_5G";;;"Оператор мобильной связи Perfectum Mobile стандарта 5G (на данный момент не участвует в переносе номеров и пока заведён как стационарный оператор)";191
998807770000;998807779999;"Perfectum_5G";;;"Оператор мобильной связи Perfectum Mobile стандарта 5G (на данный момент не участвует в переносе номеров и пока заведён как стационарный оператор)";191
998808880000;998808889999;"Perfectum_5G";;;"Оператор мобильной связи Perfectum Mobile стандарта 5G (на данный момент не участвует в переносе номеров и пока заведён как стационарный оператор)";191
998809990000;998809999999;"Perfectum_5G";;;"Оператор мобильной связи Perfectum Mobile стандарта 5G (на данный момент не участвует в переносе номеров и пока заведён как стационарный оператор)";191
